Number of nodes 292 
     0 : -1.0000000e+00  0.0000000e+00 
     1 :  1.0000000e+00  0.0000000e+00 
     2 : -1.5000000e+00  0.0000000e+00 
     3 :  1.5000000e+00  0.0000000e+00 
     4 :  2.5000000e-01 -7.5000000e-01 
     5 : -2.5000000e-01 -7.5000000e-01 
     6 : -2.5000000e-01  5.0000000e-01 
     7 :  2.5000000e-01  5.0000000e-01 
     8 : -5.0000000e-01  5.0000000e-01 
     9 :  5.0000000e-01  5.0000000e-01 
    10 :  5.0000000e-01  7.5000000e-01 
    11 : -5.0000000e-01  7.5000000e-01 
    12 :  2.5000000e-01  7.5000000e-01 
    13 : -2.5000000e-01  7.5000000e-01 
    14 : -2.5000000e-01  1.0000000e+00 
    15 :  2.5000000e-01  1.0000000e+00 
    16 :  0.0000000e+00  1.8256939e+00 
    17 : -1.2500000e+00  2.5000000e-01 
    18 :  1.2500000e+00  2.5000000e-01 
    19 : -1.7500000e+00  0.0000000e+00 
    20 : -7.5000000e-01  0.0000000e+00 
    21 :  7.5000000e-01  0.0000000e+00 
    22 :  1.7500000e+00  0.0000000e+00 
    23 :  0.0000000e+00 -1.5000000e+00 
    24 :  0.0000000e+00  1.2500000e+00 
    25 :  1.2500000e-01  1.3750000e+00 
    26 :  0.0000000e+00  1.5000000e+00 
    27 : -1.2500000e-01  1.3750000e+00 
    28 : -9.8119593e-01 -1.6689070e-01 
    29 : -9.2572665e-01 -3.2541281e-01 
    30 : -8.3637361e-01 -4.6761735e-01 
    31 : -7.1761735e-01 -5.8637361e-01 
    32 : -5.7541280e-01 -6.7572665e-01 
    33 : -4.1689070e-01 -7.3119593e-01 
    34 :  4.1689070e-01 -7.3119593e-01 
    35 :  5.7541281e-01 -6.7572665e-01 
    36 :  7.1761735e-01 -5.8637361e-01 
    37 :  8.3637361e-01 -4.6761735e-01 
    38 :  9.2572665e-01 -3.2541280e-01 
    39 :  9.8119593e-01 -1.6689070e-01 
    40 :  1.4905683e+00 -1.6794671e-01 
    41 :  1.4623919e+00 -3.3378140e-01 
    42 :  1.4158250e+00 -4.9541859e-01 
    43 :  1.3514533e+00 -6.5082561e-01 
    44 :  1.2700863e+00 -7.9804812e-01 
    45 :  1.1727472e+00 -9.3523471e-01 
    46 :  1.0606602e+00 -1.0606602e+00 
    47 :  9.3523470e-01 -1.1727472e+00 
    48 :  7.9804811e-01 -1.2700863e+00 
    49 :  6.5082561e-01 -1.3514533e+00 
    50 :  4.9541859e-01 -1.4158250e+00 
