Number of nodes 296 
     0 :  0.0000000e+00  0.0000000e+00 
     1 : -1.0000000e+00  0.0000000e+00 
     2 :  1.0000000e+00  0.0000000e+00 
     3 : -1.5000000e+00  0.0000000e+00 
     4 :  1.5000000e+00  0.0000000e+00 
     5 :  2.5000000e-01  0.0000000e+00 
     6 : -2.5000000e-01  0.0000000e+00 
     7 :  2.5000000e-01 -7.5000000e-01 
     8 : -2.5000000e-01 -7.5000000e-01 
     9 : -2.5000000e-01  5.0000000e-01 
    10 :  2.5000000e-01  5.0000000e-01 
    11 : -5.0000000e-01  5.0000000e-01 
    12 :  5.0000000e-01  5.0000000e-01 
    13 :  5.0000000e-01  7.5000000e-01 
    14 : -5.0000000e-01  7.5000000e-01 
    15 :  2.5000000e-01  7.5000000e-01 
    16 : -2.5000000e-01  7.5000000e-01 
    17 : -2.5000000e-01  1.0000000e+00 
    18 :  2.5000000e-01  1.0000000e+00 
    19 :  0.0000000e+00  1.3750000e+00 
    20 :  0.0000000e+00  1.8256939e+00 
    21 : -1.2500000e+00  2.5000000e-01 
    22 :  1.2500000e+00  2.5000000e-01 
    23 : -1.7500000e+00  0.0000000e+00 
    24 : -7.5000000e-01  0.0000000e+00 
    25 :  7.5000000e-01  0.0000000e+00 
    26 :  1.7500000e+00  0.0000000e+00 
    27 :  0.0000000e+00 -1.5000000e+00 
    28 :  0.0000000e+00  1.2500000e+00 
    29 :  1.2500000e-01  1.3750000e+00 
    30 :  0.0000000e+00  1.5000000e+00 
    31 : -1.2500000e-01  1.3750000e+00 
    32 : -9.8119593e-01 -1.6689070e-01 
    33 : -9.2572665e-01 -3.2541281e-01 
    34 : -8.3637361e-01 -4.6761735e-01 
    35 : -7.1761735e-01 -5.8637361e-01 
    36 : -5.7541280e-01 -6.7572665e-01 
    37 : -4.1689070e-01 -7.3119593e-01 
    38 :  4.1689070e-01 -7.3119593e-01 
    39 :  5.7541281e-01 -6.7572665e-01 
    40 :  7.1761735e-01 -5.8637361e-01 
    41 :  8.3637361e-01 -4.6761735e-01 
    42 :  9.2572665e-01 -3.2541280e-01 
    43 :  9.8119593e-01 -1.6689070e-01 
    44 :  1.4905683e+00 -1.6794671e-01 
    45 :  1.4623919e+00 -3.3378140e-01 
    46 :  1.4158250e+00 -4.9541859e-01 
    47 :  1.3514533e+00 -6.5082561e-01 
    48 :  1.2700863e+00 -7.9804812e-01 
    49 :  1.1727472e+00 -9.3523471e-01 
    50 :  1.0606602e+00 -1.0606602e+00 
    51 :  9.3523470e-01 -1.1727472e+00 
    52 :  7.9804811e-01 -1.2700863e+00 
    53 :  6.5082561e-01 -1.3514533e+00 
    54 :  4.9541859e-01 -1.4158250e+00 
    55 :  3.3378140e-01 -1.4623919e+00 
    56 :  1.6794671e-01 -1.4905683e+00 
    57 : -2.5000000e-01 -5.9375000e-01 
    58 : -2.5000000e-01 -4.3750000e-01 
    59 : -2.5000000e-01 -2.8125000e-01 
    60 : -2.5000000e-01 -1.2500000e-01 
    61 : -2.5000000e-01  3.1250000e-02 
    62 : -2.5000000e-01  1.8750000e-01 
    63 : -2.5000000e-01  3.4375000e-01 
    64 :  2.5000000e-01  3.4375000e-01 
    65 :  2.5000000e-01  1.8750000e-01 
    66 :  2.5000000e-01  3.1250000e-02 
    67 :  2.5000000e-01 -1.2500000e-01 
    68 :  2.5000000e-01 -2.8125000e-01 
    69 :  2.5000000e-01 -4.3750000e-01 
    70 :  2.5000000e-01 -5.9375000e-01 
    71 : -3.7500000e-01  5.0000000e-01 
    72 : -5.0000000e-01  6.2500000e-01 
    73 : -3.7500000e-01  7.5000000e-01 
    74 :  3.7500000e-01  7.5000000e-01 
    75 :  5.0000000e-01  6.2500000e-01 
    76 :  3.7500000e-01  5.0000000e-01 
    77 : -2.5000000e-01  8.7500000e-01 
    78 :  2.5000000e-01  8.7500000e-01 
    79 : -3.6733434e-01  1.1138669e+00 
    80 : -4.3632427e-01  1.2621012e+00 
    81 : -4.4789012e-01  1.4251940e+00 
    82 : -4.0050973e-01  1.5816808e+00 
    83 : -3.0041876e-01  1.7109666e+00 
    84 : -1.6079007e-01  1.7960363e+00 
    85 :  1.6079007e-01  1.7960363e+00 
    86 :  3.0041877e-01  1.7109666e+00 
    87 :  4.0050973e-01  1.5816808e+00 
    88 :  4.4789012e-01  1.4251940e+00 
    89 :  4.3632427e-01  1.2621012e+00 
    90 :  3.6733434e-01  1.1138669e+00 
    91 : -1.6250000e+00  0.0000000e+00 
    92 : -1.6794671e-01 -1.4905683e+00 
    93 : -3.3378140e-01 -1.4623919e+00 
    94 : -4.9541859e-01 -1.4158250e+00 
    95 : -6.5082561e-01 -1.3514533e+00 
    96 : -7.9804812e-01 -1.2700863e+00 
    97 : -9.3523471e-01 -1.1727472e+00 
    98 : -1.0606602e+00 -1.0606602e+00 
    99 : -1.1727472e+00 -9.3523470e-01 
   100 : -1.2700863e+00 -7.9804811e-01 
   101 : -1.3514533e+00 -6.5082561e-01 
   102 : -1.4158250e+00 -4.9541859e-01 
   103 : -1.4623919e+00 -3.3378140e-01 
   104 : -1.4905683e+00 -1.6794671e-01 
   105 : -1.6250000e+00  6.2500000e-02 
   106 : -1.5000000e+00  1.2500000e-01 
   107 : -1.3750000e+00  1.8750000e-01 
   108 : -1.1250000e+00  1.8750000e-01 
   109 : -1.0000000e+00  1.2500000e-01 
   110 : -8.7500000e-01  6.2500000e-02 
   111 : -8.7500000e-01  0.0000000e+00 
   112 :  8.7500000e-01  0.0000000e+00 
   113 :  8.7500000e-01  6.2500000e-02 
   114 :  1.0000000e+00  1.2500000e-01 
   115 :  1.1250000e+00  1.8750000e-01 
   116 :  1.3750000e+00  1.8750000e-01 
   117 :  1.5000000e+00  1.2500000e-01 
   118 :  1.6250000e+00  6.2500000e-02 
   119 :  1.6250000e+00  0.0000000e+00 
   120 :  8.8388348e-02  1.2866117e+00 
   121 :  8.8388347e-02  1.4633883e+00 
   122 : -8.8388348e-02  1.4633883e+00 
   123 : -8.8388347e-02  1.2866117e+00 
   124 :  7.5805278e-02 -1.3498380e+00 
   125 : -3.7427190e-01 -1.2991265e+00 
   126 :  3.4319323e-01 -8.8455041e-01 
   127 :  1.9699035e-01 -9.0357132e-01 
   128 :  1.4173899e-01  8.1191798e-01 
   129 : -6.4309699e-01 -1.1853245e+00 
   130 :  1.2821518e-01  4.2187500e-01 
   131 :  7.6832192e-01 -1.0897675e+00 
   132 : -1.3720438e+00 -8.7342862e-02 
   133 :  1.3701706e+00 -8.7618336e-02 
   134 : -8.9958486e-01 -9.8920938e-01 
   135 :  2.8560167e-01 -1.0273213e+00 
   136 : -1.4937039e-01  9.2580640e-01 
   137 : -3.4335624e-01 -8.8508494e-01 
   138 : -1.7858662e-01 -9.0217233e-01 
   139 :  1.0198371e+00 -8.8583731e-01 
   140 : -8.6503536e-01 -6.5241377e-01 
   141 :  7.4554516e-02  1.1931723e+00 
   142 : -1.1468353e-01 -3.5937500e-01 
   143 :  1.2152841e-01  1.1058322e-01 
   144 : -1.2631986e-01 -6.5432767e-01 
   145 : -7.3938622e-02  1.1911530e+00 
   146 :  1.1939067e+00 -6.7022866e-01 
   147 : -1.2892508e+00 -3.4710695e-01 
   148 :  1.2892508e+00 -3.4710695e-01 
   149 :  1.2478286e-01  5.5598893e-01 
   150 :  4.3663702e-01 -1.0147863e+00 
   151 :  1.3988521e-01 -1.0533716e+00 
   152 :  7.2389708e-01 -7.5420288e-01 
   153 : -2.0748800e-01  1.3048809e+00 
   154 :  2.0748800e-01  1.3048809e+00 
   155 :  9.9641266e-03  4.8867871e-01 
   156 :  1.7372797e-02  6.2701804e-01 
   157 :  1.2756884e-03  3.4384849e-01 
   158 : -2.0095888e-01  1.4678399e+00 
   159 :  2.0095888e-01  1.4678399e+00 
   160 : -8.3023683e-02  1.5830780e+00 
   161 :  7.1959919e-02  1.5591815e+00 
   162 : -1.1644077e-01 -4.6292551e-02 
   163 :  1.2400359e-01 -5.1139462e-01 
   164 :  1.1468353e-01 -2.0312500e-01 
   165 : -1.1938641e+00 -6.6997096e-01 
   166 : -1.1204311e+00 -9.6319511e-02 
   167 :  1.1166500e+00 -9.7648004e-02 
   168 : -2.8288672e-01 -1.0286294e+00 
   169 :  3.7113764e-01 -1.3005783e+00 
   170 : -4.3386647e-01 -1.0174494e+00 
   171 : -1.2800356e-01 -1.0512110e+00 
   172 : -7.2704250e-01 -7.4758374e-01 
   173 :  8.6357899e-01 -6.5077135e-01 
   174 :  1.0045253e+00 -4.6632254e-01 
   175 : -1.0043861e+00 -4.6621156e-01 
   176 :  9.1214978e-02 -7.7775439e-01 
   177 :  1.1116130e+00 -2.5490502e-01 
   178 : -1.1116130e+00 -2.5490502e-01 
   179 : -2.2944683e-01  1.1243981e+00 
   180 :  2.2628575e-01  1.1235346e+00 
   181 :  1.4405331e-01  1.0463017e+00 
   182 :  5.8579274e-01 -8.2871877e-01 
   183 : -5.8780539e-01 -8.3205725e-01 
   184 : -8.8870725e-01 -8.0950270e-01 
   185 :  1.2469383e+00  1.1835459e-01 
   186 : -1.2534704e+00  1.1545716e-01 
   187 :  3.1250000e-01  6.0825318e-01 
   188 : -3.1250000e-01  6.0825318e-01 
   189 : -1.9553016e-01  6.1814378e-01 
   190 : -9.7278655e-02  7.0630979e-01 
   191 :  2.4082201e-01 -1.1796209e+00 
   192 : -2.3616099e-01 -1.2017911e+00 
   193 : -5.7699161e-02 -1.2292536e+00 
   194 : -2.7932758e-02 -9.1699011e-01 
   195 : -7.4528428e-01 -9.1270986e-01 
   196 : -1.1536498e-01  4.1777842e-01 
   197 :  7.3899223e-01 -9.0729338e-01 
   198 : -1.1242725e+00  5.1539564e-02 
   199 : -1.2162713e-01  2.6904387e-01 
   200 : -1.1801661e-01  1.1621860e-01 
   201 : -1.2508090e+00 -1.7879935e-01 
   202 :  1.2502946e+00 -1.8063785e-01 
   203 : -3.2026250e-01  1.3522883e+00 
   204 :  3.2026250e-01  1.3522883e+00 
   205 :  1.1468353e-01 -3.5937500e-01 
   206 : -1.1655008e-01 -2.0309973e-01 
   207 :  1.1747436e-01 -4.6608802e-02 
   208 : -1.1789674e-01 -5.1455920e-01 
   209 :  1.2944632e-01  6.8480054e-01 
   210 :  3.1438523e-02  7.5000000e-01 
   211 :  4.4652865e-02  8.7839792e-01 
   212 : -1.0299295e+00 -7.0943173e-01 
   213 :  1.4498978e-01  9.3268889e-01 
   214 : -1.5544555e-01 -1.3330691e+00 
   215 :  1.1210593e+00  5.4710468e-02 
   216 : -2.5710877e-01  1.5740494e+00 
   217 :  2.5710877e-01  1.5740494e+00 
   218 :  8.7693858e-01 -8.0842651e-01 
   219 :  1.0284399e+00 -7.0689273e-01 
   220 :  1.3749526e+00  5.4088284e-02 
   221 : -1.3770053e+00  5.4062096e-02 
   222 :  1.2451742e-01  2.6821954e-01 
   223 : -5.9597538e-02  1.6981106e+00 
   224 :  1.2421979e+00 -2.3579171e-02 
   225 : -1.2467335e+00 -2.2400267e-02 
   226 : -1.0268104e+00 -8.8935168e-01 
   227 :  1.1461186e+00 -4.0766617e-01 
   228 : -1.1461186e+00 -4.0766617e-01 
   229 : -1.3986660e-01  1.0413246e+00 
   230 : -4.1648939e-02  1.0869373e+00 
   231 :  3.9809092e-01 -1.1566275e+00 
   232 :  5.3544543e-01 -1.1362387e+00 
   233 : -3.8221136e-01 -1.1472287e+00 
   234 :  2.1705689e-01 -1.3369418e+00 
   235 : -5.1050055e-01 -1.2544165e+00 
   236 : -7.7147452e-01 -1.0925833e+00 
   237 : -5.9552485e-01 -1.0083508e+00 
   238 :  6.0131692e-01 -1.0092318e+00 
   239 :  8.9999745e-01 -9.8745535e-01 
   240 :  1.2562815e+00 -5.1979444e-01 
   241 : -1.2562764e+00 -5.1976376e-01 
   242 :  9.1920981e-04  1.9038970e-01 
   243 :  9.1076840e-04  3.3215027e-02 
   244 : -3.4602876e-13 -4.3750000e-01 
   245 :  8.5930737e-03 -6.1792105e-01 
   246 : -6.0469685e-13 -2.8125000e-01 
   247 :  1.2969848e-05 -1.2452684e-01 
   248 : -8.4470198e-02  5.5693090e-01 
   249 : -1.5673981e-01  8.1818818e-01 
   250 :  5.0146459e-02  9.8636627e-01 
   251 :  9.7264541e-02 -1.2059460e+00 
   252 : -2.8718934e-01  1.2283759e+00 
   253 :  2.8666249e-01  1.2282320e+00 
   254 :  6.6326577e-01 -1.1942230e+00 
   255 : -5.0683222e-02 -7.7988951e-01 
   256 :  3.0989032e-01  1.4626754e+00 
   257 : -3.0989032e-01  1.4626754e+00 
   258 : -1.7445703e-01  1.6573122e+00 
   259 :  1.4035537e-01 -6.4911508e-01 
   260 : -4.7513350e-02  9.5546384e-01 
   261 :  5.1407238e-01 -1.2723852e+00 
   262 : -1.1362201e+00 -8.0080944e-01 
   263 :  1.1351197e+00 -8.0005419e-01 
   264 : -5.1422255e-01 -1.1239789e+00 
   265 : -5.5868479e-02  8.2674502e-01 
   266 :  1.3735522e+00 -2.3337591e-01 
   267 : -1.3735522e+00 -2.3337590e-01 
   268 :  4.1781854e-01  6.5828971e-01 
   269 : -4.1781854e-01  6.5828971e-01 
   270 :  4.6097160e-03  1.6070980e+00 
   271 :  9.6707129e-02  1.6692613e+00 
   272 :  1.7874272e-02 -1.0661581e+00 
   273 :  1.1038958e+00 -5.6071776e-01 
   274 : -1.1086564e+00 -5.5427688e-01 
   275 :  3.3898924e-03  1.1656184e+00 
   276 :  6.0990053e-02  1.1022063e+00 
   277 :  2.1134474e-01  6.1387827e-01 
   278 :  1.6848193e-01  1.5434819e+00 
   279 : -1.6455612e-01  1.5463654e+00 
   280 : -1.7025752e-01  1.2119514e+00 
   281 :  1.6980403e-01  1.2118789e+00 
   282 : -4.8550854e-02 -1.3827288e+00 
   283 :  2.3268908e-01  1.3875264e+00 
   284 : -2.3268908e-01  1.3875264e+00 
   285 :  1.3544508e-01  1.1348417e+00 
   286 :  4.6993487e-01 -8.9058303e-01 
   287 : -4.6996750e-01 -8.9078976e-01 
   288 : -2.7127119e-01 -1.3602355e+00 
   289 : -1.3103170e-01  1.1311529e+00 
   290 :  9.9410261e-01 -5.9340202e-01 
   291 :  8.3606409e-02 -9.4356912e-01 
   292 :  1.9962640e-01  1.6606073e+00 
   293 : -9.9340674e-01 -5.9284710e-01 
   294 :  4.2752348e-01  5.7224776e-01 
   295 : -4.2752348e-01  5.7224776e-01 
Number of edges 120 
     0 :      1     32 
     1 :     32     33 
